id_transaccion,fecha,id_socio,nombre_cliente,sucursal,categoria_servicio,tipo_membresia,monto_ingreso,costo_adquisicion_cac,duracion_meses_socio,estado_socio,asistencias_mes,nps_satisfaccion
TRX-RD-5019,2025-01-01,011-5108527-9,"Yudelka Morales Castillo","Santiago (Los Jardines)","Personal Trainer","Premium",1205.00,1676.00,10,Activo,7,8
TRX-RD-5030,2025-01-01,011-7856238-3,"Gabriel Marte Sánchez","Santo Domingo (Piantini)","Membresías","Básica",1690.00,1325.00,8,Activo,18,8
TRX-RD-5054,2025-01-01,031-8639038-5,"Manuel Cruz Santana","Santiago (Los Jardines)","Tienda Deportiva","Premium",1715.00,1556.00,10,Activo,14,7
TRX-RD-5002,2025-01-02,037-9546737-6,"Stephanie Reyes Gómez","Punta Cana (Bávaro)","Tienda Deportiva","Básica",1490.00,1340.00,7,Activo,12,8
TRX-RD-5013,2025-01-02,097-1176412-7,"Gabriel Jiménez Sánchez","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1963.00,8,Activo,10,8
TRX-RD-5021,2025-01-02,402-7470758-3,"Johanny Pérez Reyes","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2407.00,9,Activo,14,10
TRX-RD-5073,2025-01-02,031-0627540-1,"María Morales Guzmán","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1201.00,14,Activo,8,8
TRX-RD-5053,2025-01-03,031-8639038-5,"Manuel Cruz Santana","Santiago (Los Jardines)","Clases Guiadas","Premium",717.00,1556.00,10,Activo,14,7
TRX-RD-5065,2025-01-03,001-2826741-6,"Yamilka Santana Martínez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1389.00,12,Activo,14,7
TRX-RD-5020,2025-01-04,002-0039098-7,"Alejandro Rodríguez Castillo","Punta Cana (Bávaro)","Membresías","Premium",2690.00,1582.00,10,Activo,13,9
TRX-RD-5031,2025-01-04,011-7856238-3,"Gabriel Marte Sánchez","Santo Domingo (Piantini)","Clases Guiadas","Básica",753.00,1325.00,8,Activo,18,8
TRX-RD-5059,2025-01-04,037-4666965-8,"Genesis Sánchez Santana","Santiago (Los Jardines)","Clases Guiadas","Básica",1282.00,1234.00,8,Activo,7,7
TRX-RD-5063,2025-01-04,402-6167615-5,"María Gómez Marte","Puerto Plata Club","Personal Trainer","Premium",1573.00,1749.00,7,Activo,9,9
TRX-RD-5078,2025-01-04,002-6485922-4,"Carlos Sánchez García","Santiago (Los Jardines)","Personal Trainer","Premium",1474.00,1669.00,8,Activo,10,10
TRX-RD-5079,2025-01-04,011-4532392-7,"Gabriel Marte Vásquez","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,1474.00,14,Activo,13,8
TRX-RD-5080,2025-01-05,011-3817674-6,"Manuel Reyes Rodríguez","Santiago (Los Jardines)","Membresías","VIP",4890.00,2435.00,12,Activo,19,7
TRX-RD-5004,2025-01-06,002-1793907-3,"Genesis Jiménez Morales","Puerto Plata Club","Membresías","VIP",4890.00,2188.00,8,Activo,18,8
TRX-RD-5005,2025-01-06,001-4336709-2,"Ana Paulino Jiménez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1162.00,10,Activo,13,6
TRX-RD-5061,2025-01-06,097-4377382-3,"Kelvin Marte Santana","Santo Domingo (Piantini)","Personal Trainer","Premium",1406.00,1336.00,6,Activo,15,7
TRX-RD-5010,2025-01-07,097-6529660-4,"Johanny Pérez García","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1226.00,4,Activo,14,8
TRX-RD-5051,2025-01-07,031-8639038-5,"Manuel Cruz Santana","Santiago (Los Jardines)","Membresías","Premium",2690.00,1556.00,10,Activo,14,7
TRX-RD-5069,2025-01-08,037-2632060-3,"Nicole Castillo Rodríguez","Santo Domingo (Piantini)","Clases Guiadas","VIP",883.00,2417.00,12,Activo,10,9
TRX-RD-5038,2025-01-09,402-7439845-8,"Nicole Sánchez Santana","Santiago (Los Jardines)","Tienda Deportiva","VIP",1299.00,2334.00,10,Activo,9,8
TRX-RD-5041,2025-01-10,097-6771051-1,"Nicole Cruz Morales","Santo Domingo (Piantini)","Tienda Deportiva","Premium",1542.00,1626.00,11,Activo,8,7
TRX-RD-5046,2025-01-10,402-6702324-6,"Alejandro Peña Cruz","Santo Domingo (Piantini)","Personal Trainer","Premium",1401.00,1835.00,9,Activo,9,9
TRX-RD-5049,2025-01-10,002-4145283-8,"Stephanie Martínez Rodríguez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1446.00,10,Activo,16,7
TRX-RD-5055,2025-01-10,037-2983311-5,"Rafael Reyes Reyes","Santiago (Los Jardines)","Membresías","Premium",2690.00,1440.00,6,Activo,12,6
TRX-RD-5015,2025-01-11,097-1176412-7,"Gabriel Jiménez Sánchez","Santo Domingo (Piantini)","Tienda Deportiva","Premium",2312.00,1963.00,8,Activo,10,8
TRX-RD-5023,2025-01-11,001-4914206-9,"Gabriel Díaz Reyes","Santiago (Los Jardines)","Membresías","Premium",2690.00,1504.00,15,Activo,9,8
TRX-RD-5034,2025-01-11,097-9949127-0,"Francisco Santana Peña","Santo Domingo (Piantini)","Tienda Deportiva","VIP",1426.00,2523.00,15,Activo,9,7
TRX-RD-5084,2025-01-11,031-1342744-1,"Patricia Pérez Díaz","Puerto Plata Club","Tienda Deportiva","Básica",998.00,1141.00,11,Activo,9,9
TRX-RD-5012,2025-01-12,002-4974312-1,"Patricia Guzmán Pérez","Santo Domingo (Piantini)","Clases Guiadas","Premium",719.00,1678.00,10,Activo,6,8
TRX-RD-5024,2025-01-12,001-4914206-9,"Gabriel Díaz Reyes","Santiago (Los Jardines)","Personal Trainer","Premium",1364.00,1504.00,15,Activo,9,8
TRX-RD-5036,2025-01-12,001-2220302-9,"Ana Martínez Santana","Punta Cana (Bávaro)","Tienda Deportiva","Básica",1422.00,1409.00,11,Activo,16,7
TRX-RD-5025,2025-01-13,001-4914206-9,"Gabriel Díaz Reyes","Santiago (Los Jardines)","Clases Guiadas","Premium",1114.00,1504.00,15,Activo,9,8
TRX-RD-5071,2025-01-13,097-3249981-0,"Manuel Reyes Rosario","Puerto Plata Club","Membresías","Básica",1690.00,1486.00,10,Activo,13,10
TRX-RD-5075,2025-01-13,031-5780704-5,"Joan Guzmán Rodríguez","Punta Cana (Bávaro)","Tienda Deportiva","VIP",1444.00,2509.00,13,Activo,6,9
TRX-RD-5011,2025-01-14,002-4974312-1,"Patricia Guzmán Pérez","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1678.00,10,Activo,6,8
TRX-RD-5074,2025-01-14,031-5780704-5,"Joan Guzmán Rodríguez","Punta Cana (Bávaro)","Membresías","VIP",4890.00,2509.00,13,Activo,6,9
TRX-RD-5083,2025-01-14,031-1342744-1,"Patricia Pérez Díaz","Puerto Plata Club","Personal Trainer","Básica",1459.00,1141.00,11,Activo,9,9
TRX-RD-5044,2025-01-15,001-2305238-3,"Johanny Jiménez Marte","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2486.00,10,Activo,11,9
TRX-RD-5066,2025-01-15,001-2826741-6,"Yamilka Santana Martínez","Santo Domingo Este (Zona Oriental)","Personal Trainer","Básica",1551.00,1389.00,12,Activo,14,7
TRX-RD-5017,2025-01-16,001-9939436-2,"Pedro Rosario Sánchez","Santo Domingo Este (Zona Oriental)","Personal Trainer","Básica",1627.00,1328.00,12,Activo,8,8
TRX-RD-5048,2025-01-16,002-3232256-0,"Patricia Santana Morales","Santo Domingo (Piantini)","Membresías","Básica",1690.00,1098.00,11,Activo,11,9
TRX-RD-5062,2025-01-16,402-6167615-5,"María Gómez Marte","Puerto Plata Club","Membresías","Premium",2690.00,1749.00,7,Activo,9,9
TRX-RD-5070,2025-01-16,031-7537326-9,"Johanny Guzmán Pérez","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1736.00,9,Activo,17,7
TRX-RD-5016,2025-01-17,001-9939436-2,"Pedro Rosario Sánchez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1328.00,12,Activo,8,8
TRX-RD-5039,2025-01-17,011-6072118-7,"Stephanie Cruz Sánchez","Santiago (Los Jardines)","Membresías","Básica",1690.00,1288.00,6,Activo,10,9
TRX-RD-5047,2025-01-17,402-0772858-1,"Rosa Ventura Jiménez","Puerto Plata Club","Membresías","VIP",4890.00,2382.00,8,Activo,11,8
TRX-RD-5077,2025-01-17,002-6485922-4,"Carlos Sánchez García","Santiago (Los Jardines)","Membresías","Premium",2690.00,1669.00,8,Activo,10,10
TRX-RD-5018,2025-01-18,011-5108527-9,"Yudelka Morales Castillo","Santiago (Los Jardines)","Membresías","Premium",2690.00,1676.00,10,Activo,7,8
TRX-RD-5060,2025-01-18,097-4377382-3,"Kelvin Marte Santana","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1336.00,6,Activo,15,7
TRX-RD-5064,2025-01-18,402-6167615-5,"María Gómez Marte","Puerto Plata Club","Clases Guiadas","Premium",788.00,1749.00,7,Activo,9,9
TRX-RD-5067,2025-01-18,031-3955124-0,"Luis Pérez Vásquez","Santo Domingo (Piantini)","Membresías","Básica",1690.00,1130.00,9,Activo,10,8
TRX-RD-5045,2025-01-19,402-6702324-6,"Alejandro Peña Cruz","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1835.00,9,Activo,9,9
TRX-RD-5026,2025-01-20,001-2647774-4,"Nicole Ventura Morales","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1220.00,7,Activo,7,7
TRX-RD-5056,2025-01-20,002-9773654-8,"Ramón Guzmán García","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2398.00,14,Activo,11,8
TRX-RD-5058,2025-01-20,037-4666965-8,"Genesis Sánchez Santana","Santiago (Los Jardines)","Membresías","Básica",1690.00,1234.00,8,Activo,7,7
TRX-RD-5068,2025-01-20,037-2632060-3,"Nicole Castillo Rodríguez","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2417.00,12,Activo,10,9
TRX-RD-5022,2025-01-21,402-7470758-3,"Johanny Pérez Reyes","Santo Domingo (Piantini)","Personal Trainer","VIP",1770.00,2407.00,9,Activo,14,10
TRX-RD-5028,2025-01-21,002-2068409-6,"Gabriel Díaz Guzmán","Puerto Plata Club","Membresías","Básica",1690.00,1264.00,10,Activo,12,8
TRX-RD-5052,2025-01-21,031-8639038-5,"Manuel Cruz Santana","Santiago (Los Jardines)","Personal Trainer","Premium",1468.00,1556.00,10,Activo,14,7
TRX-RD-5086,2025-01-21,037-3006683-8,"Carmen Peña Peña","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1406.00,10,Activo,16,7
TRX-RD-5006,2025-01-22,402-3725711-4,"Genesis Rodríguez Sánchez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1179.00,14,Activo,10,6
TRX-RD-5009,2025-01-22,011-4381267-3,"Carlos Reyes Sánchez","Santo Domingo Este (Zona Oriental)","Personal Trainer","Premium",1461.00,1600.00,6,Activo,9,6
TRX-RD-5014,2025-01-22,097-1176412-7,"Gabriel Jiménez Sánchez","Santo Domingo (Piantini)","Personal Trainer","Premium",1901.00,1963.00,8,Activo,10,8
TRX-RD-5037,2025-01-22,402-7439845-8,"Nicole Sánchez Santana","Santiago (Los Jardines)","Membresías","VIP",4890.00,2334.00,10,Activo,9,8
TRX-RD-5050,2025-01-22,002-4145283-8,"Stephanie Martínez Rodríguez","Punta Cana (Bávaro)","Tienda Deportiva","Básica",1115.00,1446.00,10,Activo,16,7
TRX-RD-5072,2025-01-22,031-7353529-9,"Patricia Sánchez Santana","Santiago (Los Jardines)","Membresías","Básica",1690.00,1184.00,9,Activo,15,8
TRX-RD-5008,2025-01-23,011-4381267-3,"Carlos Reyes Sánchez","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,1600.00,6,Activo,9,6
TRX-RD-5082,2025-01-23,031-1342744-1,"Patricia Pérez Díaz","Puerto Plata Club","Membresías","Básica",1690.00,1141.00,11,Activo,9,9
TRX-RD-5033,2025-01-24,097-9949127-0,"Francisco Santana Peña","Santo Domingo (Piantini)","Personal Trainer","VIP",1642.00,2523.00,15,Activo,9,7
TRX-RD-5043,2025-01-24,402-4161120-7,"Carlos Vásquez Peña","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1665.00,10,Activo,12,8
TRX-RD-5081,2025-01-24,402-7552381-5,"Manuel Rosario Díaz","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1509.00,4,Activo,11,8
TRX-RD-5042,2025-01-25,001-0419364-4,"Ramón Jiménez Santana","Santo Domingo (Piantini)","Membresías","Básica",1690.00,1238.00,12,Activo,12,8
TRX-RD-5076,2025-01-25,037-7679995-3,"Juan Gómez Rodríguez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,924.00,10,Activo,14,9
TRX-RD-5027,2025-01-26,001-2647774-4,"Nicole Ventura Morales","Punta Cana (Bávaro)","Personal Trainer","Básica",1644.00,1220.00,7,Activo,7,7
TRX-RD-5035,2025-01-26,001-2220302-9,"Ana Martínez Santana","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1409.00,11,Activo,16,7
TRX-RD-5057,2025-01-26,037-8606750-8,"Miguel Peña Vásquez","Punta Cana (Bávaro)","Membresías","Premium",2690.00,1553.00,9,Activo,13,9
TRX-RD-5007,2025-01-27,011-9439820-0,"Ramón Guzmán Reyes","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1665.00,9,Activo,16,8
